tabla,variable,unidad,cantidad,nulos,media,mediana,moda,frecuencia_moda,cantidad_modas,cantidad_sql,nulos_sql,media_sql,mediana_sql,moda_sql,frecuencia_moda_sql,cantidad_coincide,nulos_coincide,media_coincide,mediana_coincide,moda_coincide,frecuencia_moda_coincide,todo_coincide
clientes,edad,anios,6500,0,36.305231,36.0,18,465,1,6500,0,36.305231,36.0,18,465,True,True,True,True,True,True,True
clientes,venta_total,moneda,6500,0,206.242431,137.35,98,12,1,6500,0,206.242431,137.35,98,12,True,True,True,True,True,True,True
clientes,n_compras,compras,6500,0,5.09,4.0,2,1044,1,6500,0,5.09,4.0,2,1044,True,True,True,True,True,True,True
compras,monto_compra,moneda,6500,0,39.787056,35.764,37.145,5,1,6500,0,39.787056,35.764,37.145,5,True,True,True,True,True,True,True
compras,tiempo,segundos,6500,0,767.376154,768.0,852,24,1,6500,0,767.376154,768.0,852,24,True,True,True,True,True,True,True
